LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,CleanLap,BlackFlag,CarContact,CarReset,Contact,Discontinuity,Invalid,LostControl,OffTrack,Pitted,Tow,EventCategory,PositionInClass,BestLapOnLap,LeaderLapStartTime,PercentageGapToBestLap,GapToClassLeader
10141,294,197.0673,2569.6388,24,1,0,0,0,0,0,0,0,0,1,0,In Pits,13,105.762,2534.7708,86.33091280422079,34.86800000000039
981,45,86.9741,4202.1409,38,0,0,0,0,0,0,0,0,1,0,0,Off Track,2,86.9741,3899.7022,-1.4210854715202004e-14,302.43870000000015
5781,242,87.7431,603.1016,4,1,0,0,0,0,0,0,0,0,0,0,,3,87.632,602.4254,0.12678017162679112,0.6761999999999944
5990,244,88.9019,9387.4559,94,1,0,0,0,0,0,0,0,0,0,0,,5,88.138,9372.9975,0.8667090244843365,14.458400000001348
8228,271,90.4554,7340.007,69,1,0,0,0,0,0,0,0,0,0,0,,1,90.4554,7340.007,-1.4210854715202004e-14,0.0
1827,87,-0.0001,1920.5944,1,0,0,0,1,1,1,1,0,0,1,0,"Car Reset, Discontinuity, Contact, Invalid, In Pits",12,,490.927,,1429.6673999999998
4083,223,84.2085,9483.4939,98,1,0,0,0,0,0,0,0,0,0,0,,6,84.0902,9461.5008,0.1406822673747996,21.993099999999686
130,7,-0.0001,1774.8242,11,0,0,0,1,0,1,1,0,1,1,0,"Car Reset, Discontinuity, Invalid, Off Track, In Pits",12,,1288.6362,,486.1880000000001
1304,61,133.4612,1896.7242,16,0,0,0,0,0,0,1,0,0,1,0,"Invalid, In Pits",2,97.9542,1797.9719,36.24857331283394,98.7523000000001
2751,191,93.8036,213.0296,2,0,0,0,0,0,0,0,0,1,0,0,Off Track,3,93.8036,178.4484,0.0,34.581199999999995
4196,224,84.8386,6348.7354,62,1,0,0,0,0,0,0,0,0,0,0,,3,84.6464,6343.6395,0.2270622259186581,5.095899999999347
4653,229,89.9912,14130.1704,151,0,0,0,0,0,0,0,0,1,0,0,Off Track,12,83.2331,14011.1054,8.119486117902625,119.06500000000051
6613,251,87.8138,12310.1432,126,1,0,0,0,0,0,0,0,0,0,0,,6,87.7511,12253.7118,0.07145209575720912,56.431400000001304
4069,223,92.3609,8296.754,84,1,0,0,0,0,0,0,0,0,1,0,In Pits,11,83.957,8218.6447,10.009766904486824,78.10930000000008
4255,225,84.0964,11522.0905,121,1,0,0,0,0,0,0,0,0,0,0,,12,83.743,11450.7109,0.4220054213486435,71.37960000000021
7825,267,170.7787,3874.7215,36,0,0,0,0,0,1,1,1,1,1,0,"Discontinuity, Invalid, Lost Control, Off Track, In Pits",16,87.5032,3797.155,95.16851955128496,77.5664999999999
9971,292,91.5328,2008.6778,19,1,0,0,0,0,0,0,0,0,0,0,,8,90.5991,1995.0232,1.0305841890261433,13.654599999999846
1727,82,91.1679,6161.2018,41,1,0,0,0,0,0,0,0,0,0,0,,4,90.0966,4306.8215,1.1890570787355017,1854.3802999999998
2987,210,84.3837,13135.0014,141,1,0,0,0,0,0,0,0,0,0,0,,1,84.3837,13135.0014,0.0,0.0
3749,219,160.1758,5364.1486,52,1,0,0,0,0,0,0,0,0,0,0,,5,160.1758,5360.8175,0.0,3.3311000000003332
