LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,SessionEntryID,LapTimeLoss,PitInstanceInSession
2768,193,97.384,335.5567,2,141,1.7347599999999943,1
2774,194,112.3007,136.9752,1,142,20.904050000000012,1
2775,194,98.3584,235.3336,2,142,6.961750000000009,1
2780,195,100.9356,126.3481,1,143,7.33681666666665,1
2788,196,103.3884,126.003,1,144,9.304216666666676,1
2796,197,100.3291,173.6076,1,145,6.551674999999989,1
2801,198,135.4289,677.508,6,145,41.65147499999999,2
2803,199,100.6399,238.7956,1,146,6.958666666666659,1
2817,201,100.1392,141.3311,1,148,3.0146250000000094,1
2819,201,104.6146,293.4537,3,148,7.490025000000003,2
2822,202,151.3797,628.5779,6,148,54.25512500000002,3
2823,202,101.3719,729.9498,7,148,4.247325000000004,3
2825,203,104.1269,122.4233,1,149,8.829419999999999,1
2832,204,131.4152,519.6659,4,150,36.027275,2
2833,204,100.9103,620.5762,5,150,5.522375000000011,2
2836,205,125.8312,200.2389,1,150,30.443275,1
2840,206,101.3194,143.2381,1,151,5.175399999999996,1
2872,209,149.0565,2520.2175,26,154,59.032400641025646,1
2873,209,165.0958,2685.3133,27,154,75.07170064102564,1
2897,209,165.7115,5199.8803,51,154,75.68740064102565,2
2898,209,169.676,5369.5563,52,154,79.65190064102563,2
2939,209,94.4632,8992.3929,93,154,4.439100641025647,3
2940,210,135.2738,9127.6667,94,154,45.24970064102564,3
2956,210,94.5851,10486.9865,110,154,4.561000641025643,4
2957,210,126.2797,10613.2662,111,154,36.25560064102565,4
2991,210,93.8513,13478.961,145,154,3.827200641025641,5
2992,210,146.2734,13625.2344,146,154,56.249300641025656,5
3030,211,148.9551,8284.6598,84,155,58.79602206896547,2
3066,211,94.1219,11330.494,120,155,3.9628220689654796,3
3067,211,149.4883,11479.9823,121,155,59.32922206896549,3
3103,211,94.0647,14525.4221,157,155,3.905622068965485,4
3104,211,142.3144,14667.7365,158,155,52.15532206896549,4
3171,212,95.3674,4098.0155,41,155,5.2083220689654866,1
3172,212,160.1553,4258.1708,42,155,69.9962220689655,1
3213,212,94.6745,8135.7047,83,155,4.515422068965478,2
3252,213,94.3416,3839.9654,38,156,3.745305844155766,1
3253,213,156.4818,3996.4472,39,156,65.88550584415576,1
3292,213,95.1109,7712.2405,78,156,4.514605844155767,2
3293,213,150.6513,7862.8918,79,156,60.05500584415576,2
3328,213,94.0022,10826.7081,114,156,3.405905844155768,3
3329,214,149.1257,10975.8338,115,156,58.52940584415576,3
3362,214,95.2774,13773.2239,148,156,4.681105844155766,4
3363,214,145.654,13918.8779,149,156,55.05770584415576,4
3398,215,152.0017,4162.1917,41,157,62.29978397435893,1
3399,215,93.0767,4255.2684,42,157,3.374783974358934,1
3440,215,151.0097,8183.4101,83,157,61.30778397435894,2
3441,215,93.3784,8276.7885,84,157,3.6764839743589306,2
3477,216,151.8792,11381.668,120,157,62.17728397435893,3
3478,216,93.0661,11474.7341,121,157,3.3641839743589372,3
3514,216,145.7806,14586.383,157,157,56.078683974358924,4
